Section	.text	.rodata	.data	.bss	.bssSize	.sdata	.sbss
LibApi::L10	800E1468	N/A	N/A	N/A	0	N/A	N/A
LibApi::COUNTER	800E1478	N/A	800fe844	N/A	0	N/A	N/A
LibApi::FIRST	800E15E8	N/A	N/A	80110188	0x30	N/A	N/A
LibApi::A66	800E1888	N/A	N/A	N/A	0	N/A	N/A
LibApi::PAD	800E1898	N/A	800fe864	801101b8	0x10	N/A	N/A
LibApi::A18	800E1B28	N/A	N/A	N/A	0	N/A	N/A
LibApi::A19	800E1B38	N/A	N/A	N/A	0	N/A	N/A
LibApi::A21	800E1B48	N/A	N/A	N/A	0	N/A	N/A
LibApi::PATCH	800E1B58	N/A	N/A	801101c8	0x10	N/A	N/A
LibApi::CHCLRPAD	800E1BF8	N/A	N/A	801101d8	0x10	N/A	N/A
LibSn::OPEN	800E1C68	N/A	N/A	N/A	0	N/A	N/A
LibSn::CLOSE	800E1C88	N/A	N/A	N/A	0	N/A	N/A
LibSn::LSEEK	800E1C98	N/A	N/A	N/A	0	N/A	N/A
LibSn::CREAT	800E1CBC	N/A	N/A	N/A	0	N/A	N/A
LibSn::read	800E1CDC	N/A	N/A	N/A	0	N/A	N/A
LibSn::SNREAD	800E1D98	N/A	N/A	N/A	0	N/A	N/A
LibSn::write	800E1DB0	N/A	N/A	N/A	0	N/A	N/A
LibSn::SNWRITE	800E1E6C	N/A	N/A	N/A	0	N/A	N/A
GlobalBss	N/A	N/A	N/A	801101e8	0xe9e18	N/A	N/A
END	800e1e84	8003961c	800fe874	801fd000	0	800fea48	800feb28
